Post type,Title,Post url,Author(s),Date and time posted,Tags,No. of comments
article,Which Republican Candidate Should Biden Be Most Afraid Of?,https://fivethirtyeight.com/features/which-republican-candidate-should-biden-be-most-afraid-of/,Amelia Thomson-DeVeaux; Kaleigh Rogers; Nathaniel Rakich; Geoffrey Skelley,"May 2, 2023, at 6:00 AM",Donald Trump; Joe Biden; Slack Chat; 2024 Election; 2024 Republican Primary; Ron DeSantis; Electability; Nikki Haley,27
podcast,Partisan Gerrymandering Is Legal Again In North Carolina,https://fivethirtyeight.com/videos/partisan-gerrymandering-is-legal-again-in-north-carolina/,Galen Druke; Nathaniel Rakich; Amelia Thomson-DeVeaux; Geoffrey Skelley,"May 1, 2023",Donald Trump; Politics Podcast; Video; Joe Biden; North Carolina; The Biden Administration; Redistricting; Gerrymandering; 2024 Election,6
podcast,Politics Podcast: Where Biden Stands Heading Into 2024 ,https://fivethirtyeight.com/features/politics-podcast-where-biden-stands-heading-into-2024/,Galen Druke; Nathaniel Rakich; Amelia Thomson-DeVeaux; Geoffrey Skelley,"May 1, 2023",FiveThirtyEight Podcasts; Politics Podcast; Joe Biden; Polling; North Carolina,4
article,The Real Reason Presidential Candidates Form Exploratory Committees,https://fivethirtyeight.com/features/the-real-reason-presidential-candidates-form-exploratory-committees/,Nathaniel Rakich,"Apr. 28, 2023, at 12:07 PM",2024 Election; 2024 Republican Primary; Campaigns; Tim Scott; Media Metrics,6
article,Asa Hutchinson Promises To Be A Drama-Free President. Is That What GOP Voters Want?,https://fivethirtyeight.com/features/asa-hutchinson-2024-republican-presidential-announcement/,Monica Potts,"Apr. 27, 2023, at 10:01 AM",2024 Election; 2024 Republican Primary; Arkansas; Republican Primaries; Asa Hutchinson,21
podcast,What To Do About A Problem Like Dianne Feinstein?,https://fivethirtyeight.com/videos/what-to-do-about-a-problem-like-dianne-feinstein/,Galen Druke; Nate Silver; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5; Nathaniel Rakich,"Apr. 25, 2023",Politics Podcast; Video; Congress; Polling; Public Opinion; Debt Ceiling; Dianne Feinstein,10
video,Biden’s Reelection Bid By The Numbers,https://fivethirtyeight.com/videos/bidens-reelection-bid-by-the-numbers/,Galen Druke; Tony Chow; Anna Rothschild was FiveThirtyEight’s senior producer for video.  @Anna_Rothschild,"Apr. 25, 2023",Video; Joe Biden; Featured video; 2024 Election,8
article,Biden Is Running For Reelection. What Are His Chances For 2024?,https://fivethirtyeight.com/features/biden-reelection-2024-chances/,Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5,"Apr. 25, 2023, at 7:37 AM",Joe Biden; 2024 Election; 2024 Democratic Primary,33
podcast,Politics Podcast: Are America's Favorite Governors Really All Republicans? ,https://fivethirtyeight.com/features/politics-podcast-are-americas-favorite-governors-really-all-republicans/,Galen Druke; Nate Silver; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5; Nathaniel Rakich,"Apr. 24, 2023",FiveThirtyEight Podcasts; Politics Podcast; Polling; Debt Ceiling; Dianne Feinstein,2
article,Why Dianne Feinstein Might Actually Have To Resign,https://fivethirtyeight.com/features/why-dianne-feinstein-might-actually-have-to-resign/,Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5,"Apr. 24, 2023, at 6:00 AM",Congress; Senate; California; Dianne Feinstein,13
article,Trump Is Racking Up Endorsements In Florida. Should DeSantis Be Worried?,https://fivethirtyeight.com/features/trump-is-racking-up-endorsements-in-florida-should-desantis-be-worried/,Nathaniel Rakich,"Apr. 24, 2023, at 6:00 AM",Donald Trump; Florida; 2024 Election; 2024 Republican Primary; The Endorsement Primary; Ron DeSantis; Endorsements,17
podcast,Live From New York: Will AI Replace This Podcast?,https://fivethirtyeight.com/videos/live-from-new-york-will-ai-replace-this-podcast/,Galen Druke; Nate Silver,"Apr. 21, 2023",Donald Trump; Politics Podcast; Video; Polling; New York City; 2024 Republican Primary; Ron DeSantis; ChatGPT,3
podcast,Live From New York: It's The FiveThirtyEight Politics Podcast! ,https://fivethirtyeight.com/features/live-from-new-york-its-the-fivethirtyeight-politics-podcast/,Galen Druke; Nate Silver,"Apr. 21, 2023",FiveThirtyEight Podcasts; Politics Podcast; New York; New York City; 2024 Republican Primary; Artificial Intelligence,4
article,The Fox News Defamation Trial Hurt Trust Among Some Viewers,https://fivethirtyeight.com/features/polls-fox-dominion-settlement-misinformation-media-trust/,Kaleigh Rogers,"Apr. 21, 2023, at 6:00 AM",Polls; Pollapalooza; News Media; Media; Fox News; Election Deniers; Misinformation; Voting Systems,11
article,Earth Day Is The Victim Of Its Own Success,https://fivethirtyeight.com/features/earth-day-is-the-victim-of-its-own-success/,Maggie Koerth was a senior reporter for FiveThirtyEight.   @maggiekb1,"Apr. 21, 2023, at 6:00 AM",Polling; Environment; earth day; Consumerism; Marketing; Rants,6
article,Red States Are Trying To Fight The World On Climate,https://fivethirtyeight.com/features/red-states-are-trying-to-fight-the-world-on-climate/,Maggie Koerth was a senior reporter for FiveThirtyEight.   @maggiekb1,"Apr. 20, 2023, at 6:00 AM",Climate Change; Environment; State Legislatures; earth day,21
article,What Do Fundraising Numbers Say About The 2024 Campaign?,https://fivethirtyeight.com/features/2024-fundraising-chat-president-senate-house/,Nathaniel Rakich; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5; Geoffrey Skelley; Maya Sweedler,"Apr. 19, 2023, at 11:10 AM",Donald Trump; Slack Chat; Mitt Romney; Fundraising; 2024 Election; 2024 Republican Primary; 2024 Presidential Election; Joe Manchin; Campaign Finance; Kyrsten Sinema; Nikki Haley; Jon Tester; 2024 Senate Elections; Sherrod Brown; Tim Scott; George Santos,5
article,Why It Matters That Trump Is Leading The 2024 Primary Field In Endorsements,https://fivethirtyeight.com/features/trump-2024-endorsements-polls/,Nathaniel Rakich,"Apr. 19, 2023, at 6:00 AM",Donald Trump; 2024 Election; 2024 Republican Primary; 2024 Presidential Election; The Endorsement Primary; Endorsements,13
podcast,Can Tim Scott Unify The GOP?,https://fivethirtyeight.com/videos/can-tim-scott-unify-the-gop/,None/All,"Apr. 18, 2023",Politics Podcast; Video; Featured video; Montana; GOP; Jon Tester; Tim Scott; 2024 Primaries,4
podcast,Where The Fight Over Medication Abortion Goes From Here,https://fivethirtyeight.com/videos/where-the-fight-over-medication-abortion-goes-from-here/,None/All,"Apr. 18, 2023",Politics Podcast; Video; Featured video; Supreme Court; Abortion; FDA; Medication Abortion,3
article,How Our Presidential Endorsement Tracker Works,https://fivethirtyeight.com/methodology/how-our-presidential-endorsement-tracker-works/,Nate Silver; Aaron Bycoffe,"Apr. 20, 2023",Methodology; 2024 Election; Methodology; 2024 Election,5
article,Red State Voters Support Anti-Trans Laws. Their Lawmakers Are Delivering.,https://fivethirtyeight.com/features/red-state-voters-support-anti-trans-laws-their-lawmakers-are-delivering/,Mary Radcliffe; Kaleigh Rogers,"Apr. 18, 2023, at 6:00 AM",Republican Party; State Legislatures; Arkansas; Utah; Trans Rights,16
podcast,Politics Podcast: The Next Supreme Court Clash Over Abortion ,https://fivethirtyeight.com/features/politics-podcast-the-next-supreme-court-clash-over-abortion/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Apr. 17, 2023",FiveThirtyEight Podcasts; Politics Podcast; Abortion; Montana; Tim Scott,4
article,Should Democrats Have Picked A Swing State For Their 2024 Convention?,https://fivethirtyeight.com/features/2024-dnc-chicago/,Nathaniel Rakich,"Apr. 17, 2023, at 6:00 AM",2024 Election; 2024 Presidential Election; Republican National Convention; Georgia Politics; Chicago; Democratic National Convention; 2024 Democratic Primary,14
video,Why Did A North Carolina Democrat Become A Republican?,https://fivethirtyeight.com/videos/why-a-democratic-legislator-from-north-carolina-became-a-republican/,Nathaniel Rakich; Tony Chow,"Apr. 14, 2023",Video; Featured video; North Carolina; State Legislatures; Trifectas,11
article,Ceci N’Est Pas Une Pollapalooza,https://fivethirtyeight.com/features/what-is-art/,Nathaniel Rakich,"Apr. 14, 2023, at 6:00 AM",Polling; Polls; Pollapalooza; Education,5
podcast,Are Americans OK?,https://fivethirtyeight.com/videos/are-americans-ok/,Galen Druke,"Apr. 13, 2023",Politics Podcast; Video; Polling; Gallup; American Issues,4
podcast,Politics Podcast: Americans Are Feeling Better These Days ,https://fivethirtyeight.com/features/politics-podcast-americans-are-feeling-better-these-days/,Galen Druke,"Apr. 13, 2023",FiveThirtyEight Podcasts; Politics Podcast; Health; Gallup,5
article,Why An Aging Population Might Not Doom The American Economy,https://fivethirtyeight.com/features/why-an-aging-population-might-not-doom-the-american-economy/,Santul Nerkar was a copy editor at FiveThirtyEight.   @santulN,"Apr. 13, 2023, at 6:00 AM",Economy; GDP; Aging; Economics,19
article,Trump Leads DeSantis In Our New 2024 Republican Primary Polling Average,https://fivethirtyeight.com/features/trump-desantis-national-polls/,Nathaniel Rakich,"Apr. 12, 2023, at 6:00 AM",Donald Trump; Polling; Polls; 2024 Election; 2024 Republican Primary; 2024 Presidential Election; Mike Pence; Ron DeSantis; Nikki Haley,21
article,Virtual Abortions Surged After Roe Was Overturned — But The Texas Ruling Could Change That,https://fivethirtyeight.com/features/virtual-abortions-surged-after-roe-was-overturned-but-the-texas-ruling-could-change-that/,Amelia Thomson-DeVeaux,"Apr. 11, 2023, at 1:01 PM",Abortion; Texas; Medication Abortion; Mifepristone,10
video,Do You Buy That … Last Week’s Election In Wisconsin Was The Most Important Election Of 2023?,https://fivethirtyeight.com/videos/do-you-buy-that-last-weeks-election-in-wisconsin-was-the-most-important-election-of-2023/,Nate Silver,"Apr. 11, 2023",Video; Featured video; Wisconsin; Elections; Do You Buy That,7
article,"Over 66,000 People Couldn’t Get An Abortion In Their Home State After Dobbs",https://fivethirtyeight.com/features/post-dobbs-abortion-access-66000/,Maggie Koerth was a senior reporter for FiveThirtyEight.   @maggiekb1; Amelia Thomson-DeVeaux,"Apr. 11, 2023, at 8:00 AM","Abortion; Access To Abortion; ""Womens Health""; Texas Abortion; Medication Abortion; Mifepristone",10
podcast,How Concerned Are Americans About The Pitfalls Of AI?,https://fivethirtyeight.com/videos/how-concerned-are-americans-about-the-pitfalls-of-ai/,Galen Druke; Nate Silver; Kaleigh Rogers; Geoffrey Skelley,"Apr. 10, 2023",Politics Podcast; Video; Congress; Artificial Intelligence; AI,4
podcast,Republicans Amplified Pro-Gun Control Protesters In Tennessee,https://fivethirtyeight.com/videos/republicans-amplified-pro-gun-control-protesters-in-tennessee/,Galen Druke; Nate Silver; Kaleigh Rogers; Geoffrey Skelley,"Apr. 10, 2023",Politics Podcast; Video; Gun Control; Tennessee; Gun Rights,6
podcast,What’s Next In The Abortion Drug Case,https://fivethirtyeight.com/videos/whats-next-in-the-abortion-drug-case/,Galen Druke; Nate Silver; Kaleigh Rogers; Geoffrey Skelley,"Apr. 10, 2023",Politics Podcast; Video; Abortion; Access To Abortion; Texas Abortion; Medication Abortion,5
podcast,Politics Podcast: The Politics Of AI ,https://fivethirtyeight.com/features/politics-podcast-the-politics-of-ai/,Galen Druke; Kaleigh Rogers; Nate Silver; Geoffrey Skelley,"Apr. 10, 2023",FiveThirtyEight Podcasts; Politics Podcast; Artificial Intelligence,4
article,The GOP Is Trying To Tilt Montana’s Senate Race In Its Favor. It Probably Won’t Work.,https://fivethirtyeight.com/features/jon-tester-montana-2024-election/,Nathaniel Rakich,"Apr. 10, 2023, at 10:41 AM",2024 Election; Jon Tester; Montana Senate; 2024 Senate Elections; Top-Two Primaries; Montana Politics,13
article,A Sex Scandal Tanked A Presidential Front-Runner In The 1980s. Why Not Today?,https://fivethirtyeight.com/features/a-sex-scandal-tanked-a-presidential-front-runner-in-the-1980s-why-not-today/,Geoffrey Skelley,"Apr. 10, 2023, at 6:00 AM",Donald Trump; Democratic Party; 2024 Republican Primary; Scandals; Early Primary Polls; Gary Hart,15
video,A Judge Just Suspended Approval Of One Of The Most Common Abortion Drugs,https://fivethirtyeight.com/videos/a-judge-just-suspended-approval-of-one-of-the-most-common-abortion-drugs/,Anna Rothschild was FiveThirtyEight’s senior producer for video.  @Anna_Rothschild; Amelia Thomson-DeVeaux; Maggie Koerth was a senior reporter for FiveThirtyEight.   @maggiekb1,"Apr. 7, 2023",Video; Featured video; Abortion; Texas; Access To Abortion; Medication Abortion,6
article,A Texas Judge’s Decision Could Reduce Abortion Access … Again,https://fivethirtyeight.com/features/mifepristone-ruling-abortion-access/,Amelia Thomson-DeVeaux,"Apr. 7, 2023, at 8:05 PM",Abortion; Texas; Access To Abortion; Medication Abortion; Federal Judiciary,10
article,Trump’s Indictment Might Be Making Him More Popular Among Republicans,https://fivethirtyeight.com/features/trumps-indictment-might-be-making-him-more-popular-among-republicans/,Monica Potts,"Apr. 7, 2023, at 6:00 AM",Donald Trump; Pollapalooza; Partisanship; Polla; Trump indictment,22
article,What Can House Republicans Actually Do To The Manhattan DA?,https://fivethirtyeight.com/features/what-can-house-republicans-actually-do-to-the-manhattan-da/,Kaleigh Rogers,"Apr. 6, 2023, at 11:07 AM",Donald Trump; House of Representatives; House Republicans; Kevin McCarthy; Congressional Investigations; Alvin Bragg,14
article,Trump’s 2024 Challengers Aren’t Attacking Him On The Indictment. They Might Want To.,https://fivethirtyeight.com/features/2024-republican-reaction-trump-indictment/,Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5,"Apr. 6, 2023, at 6:00 AM",Donald Trump; 2016 Election; 2016 Republican Primary; 2016 Presidential Election; 2024 Election; 2024 Republican Primary; 2024 Presidential Election,8
article,How Bad Is The Indictment For Trump?,https://fivethirtyeight.com/features/trump-indictment-charges-chat/,Nathaniel Rakich; Amelia Thomson-DeVeaux; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5,"Apr. 6, 2023, at 6:00 AM",Donald Trump; Slack Chat; 2024 Election; 2024 Republican Primary; 2024 Presidential Election; Michael Cohen; Stormy Daniels,16
podcast,"Progressives Won In The Midwest, While Trump Was Arrested In Manhattan",https://fivethirtyeight.com/videos/progressives-won-in-the-midwest-while-trump-was-arrested-in-manhattan/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Apr. 5, 2023",Donald Trump; Politics Podcast; Video; Wisconsin; Chicago,10
video,What NYC Protesters Think Of Trump’s Arrest,https://fivethirtyeight.com/videos/what-nyc-protesters-think-of-trumps-arrest/,Galen Druke,"Apr. 5, 2023",Donald Trump; Video; Featured video,6
podcast,Politics Podcast: The Takeaways From 2023's Super Tuesday ,https://fivethirtyeight.com/features/politics-podcast-the-takeaways-from-2023s-super-tuesday/,Galen Druke; Nathaniel Rakich; Amelia Thomson-DeVeaux,"Apr. 5, 2023",Donald Trump; FiveThirtyEight Podcasts; Politics Podcast; Wisconsin; Chicago,6
article,Biden Is Moving Right On Immigration. Will That Hurt Him In 2024?,https://fivethirtyeight.com/features/biden-is-moving-right-on-immigration-will-that-hurt-him-in-2024/,Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5,"Apr. 5, 2023, at 6:00 AM",Joe Biden; Immigration; 2024 Election,15
article,The 4 Political Neighborhoods Of Chicago,https://fivethirtyeight.com/features/chicago-politics-neighborhoods-election/,Nathaniel Rakich,"Apr. 4, 2023, at 6:00 AM",Political Geography; Chicago; 2023 Election,10
podcast,Will Chicago Politics Move Right In 2023?,https://fivethirtyeight.com/videos/will-chicago-politics-move-right-in-2023/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich; Geoffrey Skelley,"Apr. 3, 2023",Politics Podcast; Video; Chicago; Mayoral Elections,9
podcast,Why The Wisconsin Supreme Court Race Is So Expensive,https://fivethirtyeight.com/videos/why-the-wisconsin-supreme-court-race-is-so-expensive/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich; Geoffrey Skelley,"Apr. 3, 2023",Politics Podcast; Video; Abortion; Wisconsin; Redistricting; Wisconsin Politics,5
podcast,What Americans Think Of Trump’s Indictment So Far,https://fivethirtyeight.com/videos/what-americans-think-of-trumps-indictment-so-far/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich; Geoffrey Skelley,"Apr. 3, 2023",Donald Trump; Politics Podcast; Video; 2024 Republican Primary,6
podcast,Politics Podcast: Why Tuesday Is The Highest Stakes Election Day Of 2023 ,https://fivethirtyeight.com/features/politics-podcast-why-tuesday-is-the-highest-stakes-election-day-of-2023/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich; Geoffrey Skelley,"Apr. 3, 2023",FiveThirtyEight Podcasts; Politics Podcast,1
video,"Who Is Asa Hutchinson, The Newest GOP Candidate For President?",https://fivethirtyeight.com/videos/who-is-asa-hutchinson-the-newest-gop-candidate-for-president/,Anna Rothschild was FiveThirtyEight’s senior producer for video.  @Anna_Rothschild; Monica Potts,"Apr. 3, 2023",Video; Featured video; 2024 Election; 2024 Republican Primary; Republican,7
video,Why Are There So Many Boomers In Congress?,https://fivethirtyeight.com/videos/why-are-there-so-many-boomers-in-congress/,Geoffrey Skelley; Anna Rothschild was FiveThirtyEight’s senior producer for video.  @Anna_Rothschild; Tony Chow,"Apr. 3, 2023",Video; Congress; Featured video; Senate; House of Representatives; Millennials; Baby Boomers,8
article,What You Need To Know About The Wisconsin And Chicago Elections,https://fivethirtyeight.com/features/chicago-wisconsin-elections/,Geoffrey Skelley; Amelia Thomson-DeVeaux,"Apr. 3, 2023, at 6:00 AM",Access To Abortion; Crime; Chicago; Mayoral Elections; Wisconsin Politics; 2023 Election,5
article,Congress Today Is Older Than It’s Ever Been,https://fivethirtyeight.com/features/aging-congress-boomers/,Geoffrey Skelley,"Apr. 3, 2023, at 6:00 AM",Congress; Senate; House of Representatives; Aging; Baby Boomers,8
podcast,Will Trump’s Indictment Matter In 2024?,https://fivethirtyeight.com/videos/will-trumps-indictment-matter-in-2024/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 31, 2023",Donald Trump; Politics Podcast; Video; 2024 Republican Primary; 2024 Presidential Election; Stormy Daniels,12
podcast,Emergency Politics Podcast: Trump Is Indicted ,https://fivethirtyeight.com/features/emergency-politics-podcast-trump-is-indicted/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 31, 2023",FiveThirtyEight Podcasts; Politics Podcast,6
article,How Trump’s Indictment Could Affect The 2024 Election,https://fivethirtyeight.com/features/trump-indictment-2024-election/,Nathaniel Rakich,"Mar. 31, 2023, at 9:54 AM",Donald Trump; 2024 Election; 2024 Presidential Election; Stormy Daniels,40
article,Congress Is Trying To Ban TikTok. Younger Americans Don’t Like That.,https://fivethirtyeight.com/features/tiktok-ban-polls/,Cooper Burton,"Mar. 31, 2023, at 6:00 AM",MLB; Joe Biden; Polling; Polls; Baseball; Pollapalooza; Social Media; College; Transgender; TikTok,6
podcast,New Laws Are Driving Red And Blue States Further Apart,https://fivethirtyeight.com/videos/new-laws-are-driving-red-and-blue-states-further-apart/,Galen Druke; Monica Potts; Amelia Thomson-DeVeaux; Kaleigh Rogers,"Mar. 30, 2023",Politics Podcast; Video; State Legislatures,8
podcast,Politics Podcast: What The Laboratories Of Democracy Are Cooking Up ,https://fivethirtyeight.com/features/politics-podcast-what-the-laboratories-of-democracy-are-cooking-up/,Galen Druke; Kaleigh Rogers; Monica Potts; Amelia Thomson-DeVeaux,"Mar. 30, 2023",FiveThirtyEight Podcasts; Politics Podcast,2
article,The Fed’s Fight Against Inflation Could Cost Black Workers The Most,https://fivethirtyeight.com/features/fighting-inflation-could-hurt-black-workers/,Santul Nerkar was a copy editor at FiveThirtyEight.   @santulN,"Mar. 30, 2023, at 6:00 AM",Economy; Unemployment Rate; Recession; U.S. Economy; Economic Inequality; Black Americans; Racial Disparities; Economics,6
article,Politicians Want Universal School Vouchers. But What About The Public?,https://fivethirtyeight.com/features/politicians-want-universal-school-vouchers-but-what-about-the-public/,Monica Potts; Mary Radcliffe,"Mar. 29, 2023, at 12:23 PM",Education; Public Schools; Home school; Private school; Religious; Vouchers,18
article,Should Anti-Trump Republicans Clear The Field For DeSantis?,https://fivethirtyeight.com/features/trump-desantis-2024-primary/,Nathaniel Rakich; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5; Geoffrey Skelley,"Mar. 28, 2023, at 6:00 AM",Donald Trump; Polls; Slack Chat; 2024 Election; 2024 Republican Primary; 2024 Presidential Election; Mike Pence; Ron DeSantis; Liz Cheney; Nikki Haley; Larry Hogan; Tim Scott,23
podcast,Who Do Democrats Want To Win The 2024 Republican Primary?,https://fivethirtyeight.com/videos/who-do-democrats-want-to-win-the-2024-republican-primary/,Galen Druke; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5; Nathaniel Rakich; Kaleigh Rogers,"Mar. 27, 2023",Donald Trump; Politics Podcast; Video; Polling; Democrats; 2024 Republican Primary; Ron DeSantis,5
podcast,What Taylor Swift Can Teach Us About Polling,https://fivethirtyeight.com/videos/what-taylor-swift-can-teach-us-about-polling/,Galen Druke; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5; Nathaniel Rakich; Kaleigh Rogers,"Mar. 27, 2023",Politics Podcast; Video; Polling; Taylor Swift,3
podcast,Politics Podcast: Good Or Bad Use Of Polling (Taylor’s Version) ,https://fivethirtyeight.com/features/politics-podcast-good-or-bad-use-of-polling-taylors-version/,Galen Druke; Nathaniel Rakich; Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5; Kaleigh Rogers,"Mar. 27, 2023",FiveThirtyEight Podcasts; Politics Podcast; Ron DeSantis; Taylor Swift,3
article,Would Democrats Rather Face Donald Trump Or Ron DeSantis in 2024?,https://fivethirtyeight.com/features/would-democrats-rather-face-donald-trump-or-ron-desantis-in-2024/,Alex Samuels was a politics reporter at FiveThirtyEight.   @AlexSamuelsx5,"Mar. 27, 2023, at 6:00 AM",Donald Trump; 2024 Election; 2024 Republican Primary; 2024 Presidential Election; Ron DeSantis,28
article,"Unions Have Been Under Attack For Decades, But Michigan Just Gave Them A Big Win",https://fivethirtyeight.com/features/unions-have-been-under-attack-for-decades-but-michigan-just-gave-them-a-big-win/,Monica Potts,"Mar. 24, 2023, at 3:37 PM",Partisanship; State Legislatures; Labor; Unions,11
article,Which Taylor Swift Album Is The Most Popular?,https://fivethirtyeight.com/features/taylor-swift-eras-tour-polling/,Nathaniel Rakich,"Mar. 24, 2023, at 6:00 AM",Polling; Polls; Pollapalooza; Pollsters; Music; Pop Music; Margin Of Error,5
podcast,Will Voters Care If Trump Gets Indicted?,https://fivethirtyeight.com/videos/will-voters-care-if-trump-gets-indicted/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 23, 2023",Donald Trump; Politics Podcast; Video; 2024 Presidential Election; Stormy Daniels,18
podcast,Politics Podcast: The Manhattan DA Might Be The Least Of Trump's Legal Worries ,https://fivethirtyeight.com/features/politics-podcast-the-manhattan-da-might-be-the-least-of-trumps-legal-worries/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 23, 2023",Donald Trump; FiveThirtyEight Podcasts; Politics Podcast; Jan. 6 Investigation,3
video,Why Is Biden Moving To The Political Center?,https://fivethirtyeight.com/videos/why-is-biden-moving-to-the-political-center/,Nathaniel Rakich; Tony Chow,"Mar. 23, 2023","Video; Joe Biden; Polling; 2022 Election; Featured video; The Biden Administration; Presidential Approval; 2024 Election; 2024 Presidential Election; ""Whats The Deal""",16
article,Recess Is Good For Kids. Why Don’t More States Require It?,https://fivethirtyeight.com/features/recess-is-good-for-kids-why-dont-more-states-require-it/,Monica Potts,"Mar. 23, 2023, at 6:00 AM",Education; State Legislatures; Schools; Child development; Play; Recess,7
article,What We Know About Trump’s Legal Troubles,https://fivethirtyeight.com/features/what-we-know-about-trumps-legal-troubles/,Amelia Thomson-DeVeaux,"Mar. 22, 2023, at 12:57 PM",Donald Trump; 2020 Election; Jan. 6 Investigation; Michael Cohen; Election Fraud; Justice Department,15
article,What Happens If Trump Is Indicted?,https://fivethirtyeight.com/features/trump-indictment-2024-election-chat/,Nathaniel Rakich; Amelia Thomson-DeVeaux; Geoffrey Skelley; Kaleigh Rogers,"Mar. 21, 2023, at 1:16 PM",Donald Trump; Slack Chat; 2024 Election; 2024 Republican Primary; Scandals; Stormy Daniels,14
article,States Are Cracking Down On Militias — Except For Idaho,https://fivethirtyeight.com/features/state-militia-laws/,Kaleigh Rogers,"Mar. 21, 2023, at 6:00 AM",Oregon; New Mexico; State Legislatures; Vermont; Idaho; Militias; Political Violence,10
podcast,Bank Bailout Politics 2.0,https://fivethirtyeight.com/videos/bank-bailout-politics-2-0/,Galen Druke; Nate Silver; Santul Nerkar was a copy editor at FiveThirtyEight.   @santulN; Monica Potts,"Mar. 20, 2023",Politics Podcast; Video; Bailout; Financial Regulation; Financial Crisis,6
