0,1,2,3,4,5,6
podcast,Where The Debate Over Abortion Stands,https://fivethirtyeight.com/videos/where-the-debate-over-abortion-stands-in-2023/,Galen Druke; Amelia Thomson-DeVeaux,"Mar. 13, 2023",Politics Podcast; Video; 2022 Midterms; Abortion; Roe V. Wade,5
podcast,Polls Haven’t Been This Accurate Since At Least 1998,https://fivethirtyeight.com/videos/polls-havent-been-this-accurate-since-at-least-1998/,Galen Druke; Nate Silver; Nathaniel Rakich,"Mar. 13, 2023",Politics Podcast; Video; Polling; 2022 Midterms,5
podcast,Politics Podcast: This Is The Best Pollster In America ,https://fivethirtyeight.com/features/politics-podcast-this-is-the-best-pollster-in-america/,Galen Druke; Nate Silver; Nathaniel Rakich; Amelia Thomson-DeVeaux,"Mar. 13, 2023",FiveThirtyEight Podcasts; Politics Podcast; Polling; Abortion; Pollster Ratings,5
article,There’s A Racial Bias on Police Facebook Pages,https://fivethirtyeight.com/features/police-facebook-posts-racial-bias/,Maggie Koerth,"Mar. 13, 2023, at 6:00 AM",Race; Crime; Facebook; Racism; Police; Crime Data,4
article,Red States Are Fighting Their Blue Cities,https://fivethirtyeight.com/features/how-red-states-are-fighting-their-blue-cities/,Monica Potts,"Mar. 13, 2023, at 6:00 AM",Partisanship; Cities; Rural; Urban; Red States; Blue Cities; Federalism,10
video,The Polls Got It Right In 2022. Here Are The Pollsters To Trust.,https://fivethirtyeight.com/videos/polls-arent-dead-here-are-the-pollsters-to-trust/,Nathaniel Rakich; Tony Chow,"Mar. 10, 2023","Video; Polling; Polls; 2022 Election; Featured video; Pollsters; Pollster Ratings; ""Whats The Deal""",5
article,The Polls Were Historically Accurate In 2022,https://fivethirtyeight.com/features/2022-election-polling-accuracy/,Nathaniel Rakich,"Mar. 10, 2023, at 6:00 AM",Polling; Polls; 2022 Election; Generic Ballot; Pollsters; Pollster Ratings; Polling Accuracy; Polling Bias,15
article,Americans Want Tighter Railroad Regulations After The Ohio Train Derailment,https://fivethirtyeight.com/features/railroad-safety-polls-east-palestine-train/,Cooper Burton,"Mar. 10, 2023, at 6:00 AM",Joe Biden; Polls; COVID-19; Pollapalooza; Pete Buttigieg; Oscars; Transportation; Misinformation,5
article,How Our Pollster Ratings Work,https://fivethirtyeight.com/methodology/how-our-pollster-ratings-work/,Nathaniel Rakich,"Mar. 10, 2023",Methodology; Methodology,4
podcast,What Would Happen If Trump Was A Third-Party Candidate In 2024?,https://fivethirtyeight.com/videos/what-would-happen-if-trump-was-a-third-party-candidate-in-2024/,Galen Druke; Nate Silver,"Mar. 9, 2023",Donald Trump; Politics Podcast; Video; 2024 Election; 2024 Republican Primary; mailbag,6
podcast,Politics Podcast: Few Americans Think AI Will Do More Good Than Harm ,https://fivethirtyeight.com/features/politics-podcast-few-americans-think-ai-will-do-more-good-than-harm/,Galen Druke; Nate Silver,"Mar. 9, 2023",FiveThirtyEight Podcasts; Politics Podcast; Polling; 2024 Presidential Election; Artificial Intelligence,7
article,"Some GOP Legislators Are Trying To Show They’re Pro-Life, Not Just Anti-Abortion",https://fivethirtyeight.com/features/gop-legislators-trying-pro-life-not-just-anti-abortion/,Amelia Thomson-DeVeaux,"Mar. 9, 2023, at 11:13 AM",Abortion; Access To Abortion; Medicaid; Red States,8
video,Why Is 2 Percent The Federal Reserve’s Magic Number For Inflation?,https://fivethirtyeight.com/videos/why-is-2-percent-the-federal-reserves-magic-number-for-inflation/,Santul Nerkar; Anna Rothschild,"Mar. 9, 2023",Video; Featured video; Economy; Inflation; Federal Reserve,8
article,The Fed’s Inflation Goal Is Completely Arbitrary,https://fivethirtyeight.com/features/why-the-feds-want-2-percent-inflation/,Santul Nerkar,"Mar. 9, 2023, at 6:00 AM",Economy; Inflation; Federal Reserve; Interest Rates; Economics,7
article,Does CPAC Even Matter Anymore?,https://fivethirtyeight.com/features/cpac-irrelevant/,Nathaniel Rakich; Monica Potts; Kaleigh Rogers,"Mar. 8, 2023, at 6:00 AM",Donald Trump; Republican Party; Conservatives; 2024 Republican Primary; Ron DeSantis; CPAC,14
article,How Asian Americans Came To Play A Central Role In The Battle Over Affirmative Action,https://fivethirtyeight.com/features/supreme-court-affirmative-action/,Alex Samuels,"Mar. 7, 2023, at 6:00 AM",Supreme Court; College; Affirmative Action; Asian Americans; Harvard,10
article,Does It Matter Where COVID-19 Came From?,https://fivethirtyeight.com/features/covid-lab-leak/,Maggie Koerth,"Mar. 7, 2023, at 6:00 AM",COVID-19; Coronavirus; China,17
article,The House Is About To Have 435 Members. That’s Pretty Rare.,https://fivethirtyeight.com/features/house-435-members-pretty-rare/,Geoffrey Skelley,"Mar. 7, 2023, at 6:00 AM",Congress; House of Representatives; Scandals; Retirements; Full Count; Resignation,3
podcast,Why Lori Lightfoot Lost The Chicago Mayor’s Race,https://fivethirtyeight.com/videos/why-lori-lightfoot-lost-the-chicago-mayors-race/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",Politics Podcast; Video; Virginia; Wisconsin; Chicago; Mayoral Elections,7
podcast,The Poll That Ended Dilbert,https://fivethirtyeight.com/videos/the-poll-that-ended-dilbert/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",Politics Podcast; Video; Polling; Racism,6
podcast,Could Biden Be Vulnerable In A Primary?,https://fivethirtyeight.com/videos/could-biden-be-vulnerable-in-a-primary/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",Politics Podcast; Video; Joe Biden; Marianne WIlliamson; 2024 Democratic Primary,5
podcast,Politics Podcast: The Poll That Ended Dilbert ,https://fivethirtyeight.com/features/politics-podcast-the-poll-that-ended-dilbert/,Galen Druke; Nate Silver; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 6, 2023",FiveThirtyEight Podcasts; Politics Podcast; Polling; Chicago; Marianne WIlliamson,3
article,"Do Americans Like Donald Trump, Nikki Haley or Ron DeSantis?",https://fivethirtyeight.com/features/trump-desantis-pence-election-polls/,Geoffrey Skelley,"Mar. 6, 2023, at 6:00 AM",Donald Trump; Favorability Ratings; Mike Pence; 2024 Election; 2024 Republican Primary; Ron DeSantis; Nikki Haley,12
article,The Perks Workers Want Also Make Them More Productive,https://fivethirtyeight.com/features/employee-perks-future-of-work/,Monica Potts,"Mar. 3, 2023, at 6:00 AM",Labor Force; Paid Leave; Productivity; 4 Day Workweek; Remote Work; Workers,8
article,Americans Like Biden’s Student Debt Forgiveness Plan. The Supreme Court … Not So Much.,https://fivethirtyeight.com/features/samuels-student-debt-forgiveness-0303/,Alex Samuels,"Mar. 3, 2023, at 6:00 AM",Joe Biden; Supreme Court; Pollapalooza; Student Debt,12
podcast,How The Federal Reserve Is The Shadow Branch Of The Government,https://fivethirtyeight.com/videos/how-the-federal-reserve-is-the-shadow-branch-of-the-government/,Galen Druke,"Mar. 2, 2023",Politics Podcast; Video; Economy; Inflation; Federal Reserve,5
podcast,Politics Podcast: Why The Federal Reserve's Power Is 'Limitless' ,https://fivethirtyeight.com/features/politics-podcast-why-the-federal-reserves-power-is-limitless/,Galen Druke,"Mar. 2, 2023",FiveThirtyEight Podcasts; Politics Podcast; Economy; Democracy; Federal Reserve,4
article,Democrats Are Open To Ditching Biden In 2024,https://fivethirtyeight.com/features/biden-2024-marianne-williamson/,Nathaniel Rakich,"Mar. 2, 2023, at 6:00 AM",Joe Biden; Polling; Polls; Approval Ratings; Favorability Ratings; 2024 Presidential Election; 2024 Election; Electability; Marianne WIlliamson; 2024 Democratic Primary,23
article,What Are The Most Vulnerable Senate Seats In 2024?,https://fivethirtyeight.com/features/2024-top-senate-races-chat/,Alex Samuels; Nathaniel Rakich; Geoffrey Skelley,"Mar. 1, 2023, at 6:00 AM",Slack Chat; 2024 Election; 2024 Senate Elections,10
